Artist Name,Track Name,Class
Avalanche,Maja Lena,0
Marchita,Silvana Estrada,0
Wildflowers in the Graveyard,Amber Rubarth,0
The Magnetic Fields,The Book of Love,0
Allison,Jamie Drake,0
"Hemanth Bhagavath, Vignesh Prabhu, Swayam Prakash Prabhu",Jog Fusion,0
Lowlands,Alina Hardin,0
Give a Little Love (feat. Sufjan Stevens),"Mina Tindle, Sufjan Stevens",0
Mother Song,Westerman,0
For All You Give (feat. Lucy Rose),"The Paper Kites, Lucy Rose",0
Eastmountainsouth,So Are You To Me,0
Beta Radio,White Fawn,0
"Mani Sharma, Amit Heri, Gayathri",Remembering His Violin,0
Ivan & Alyosha,Don't Lose Your Love,0
Lotte Kestner,Halo,0
Ronkini Gupta,Anjuman,0
El Invento,José González,0
Love and Chains,"Vivian Leva, Riley Calcagno",0
Wait for You,Ocie Elliott,0
Joy Williams,Sweet Love of Mine (Acoustic),0
Henry Green,The Sweetest Taboo,0
Dean Lewis,Chemicals - Acoustic,0
Far Away the Hills Are Green,"Joshua Burnside, Laura Quirke",0
Valley Of Tears,Gillian Welch,0
Talk to the Lord,Natalie Bergman,0
Warped Window,Anna Mieke,0
Courtney Marie Andrews,To Ramona,0
Witness Trees,Henry Jamison,0
Noah Reid,"Simply the Best (From ""Schitt's Creek"")",0
Yusuf / Cat Stevens,The Wind,0
Kyoto - Spotify Singles,"Phoebe Bridgers, Jackson Browne",0
Lost & Lonesome,Buffalo Nichols,0
Danielle Bradbery,Slow Burn - Yours Truly: 2018,0
May Flowers,Charlie Brennan,0
Working Man,Maya De Vitry,0
Leonard Cohen,Suzanne,0
"John Prine, Fiona Prine",My Happiness (feat. Fiona Prine),0
"John McLaughlin, Shankar Mahadevan, Zakir Hussain",The Search,0
Sunday Drive,Ásgeir,0
Hell Is A Crowded Room,Allison Ponthier,0
I Lied (with Allison Ponthier),"Lord Huron, Allison Ponthier",0
Ben Abraham,She,0
Brandi Carlile,"Take Me Home, Country Roads",0
Mountain Song,Ava Earl,0
Square One,Caamp,0
Field Notes on an Endless Day,Graeme James,0
Becca Mancari,Golden (Acoustic),0
The Lumineers,Have You Ever Seen The Rain - Recorded at Electric Lady Studios NYC,0
Gautam Kale,Manwa,0
"Langhorne Slim, Jill Andrews",Sea Of Love,0
Lemon [Feat. Sharon Van Etten],"Local Natives, Sharon Van Etten",0
Nelly Furtado,Crazy - Radio 1 Live Lounge Session,0
"Uthara Unnikrishnan, Unnikrishnan",Endaro Mahanubhavulu,0
Old Gods,Emily Scott Robinson,0
Change Comes Slow,Humming House,0
The Missing Road,Radical Face,0
