Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Genre
311,Down,60,0.441,0.922,6,-6.644,0,0.0655,0.000179,1.97E-06,0.381,0.565,175.411,172160,4,10
311,Good Feeling,55,0.687,0.898,4,-3.926,0,0.0464,0.00127,0.000444,0.0743,0.436,100.014,203913,4,10
1349,I Am Abomination,32,0.176,0.963,10,-4.817,0,0.154,2.97E-06,0.775,0.194,0.0512,123.779,250507,4,8
1349,Slaves,26,0.209,0.927,4,-7.263,0,0.101,1.82E-06,0.667,0.652,0.298,194.048,293320,4,8
1349,Atomic Chapel,25,0.168,0.917,7,-6.882,0,0.092,0,0.815,0.217,0.0388,126.099,384680,4,8
$uicideboy$,"...And To Those I Love, Thanks For Sticking Around",79,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04E-05,0.14,0.111,113.983,168490,4,5
(Hed) P.E.,Suck It Up,40,0.619,0.871,1,-5.214,0,0.0837,0.000337,0.000833,0.0585,0.412,91.507,235543,4,8
*repeat repeat,Wind in My Sail,23,0.495,0.844,7,-4.448,1,0.0433,9.75E-05,0.81,0.447,0.46,119.958,185916,4,1
*repeat repeat,For Leaving You,37,0.327,0.841,9,-4.963,1,0.062,0.000101,0.863,0.127,0.455,180.058,226119,4,1
*repeat repeat,Wind in My Sail,23,0.495,0.844,7,-4.448,1,0.0433,9.75E-05,0.81,0.447,0.46,119.958,185916,4,10
*repeat repeat,For Leaving You,37,0.327,0.841,9,-4.963,1,0.062,0.000101,0.863,0.127,0.455,180.058,226119,4,10
...And Oceans,As the After Becomes the Before,23,0.171,0.713,4,-9.328,1,0.0613,2.51E-06,0.097,0.0471,0.234,116.29,313000,4,8
? & The Mysterians,96 Tears,44,0.681,0.499,7,-6.894,1,0.034,0.0589,6.39E-06,0.0743,0.841,123.458,177427,4,6
? & The Mysterians,96 Tears,44,0.681,0.499,7,-6.894,1,0.034,0.0589,6.39E-06,0.0743,0.841,123.458,177427,4,10
[Alexandros],閃光 - English ver.,40,0.545,0.961,5,-4.233,0,0.0488,3.57E-05,0.000592,0.091,0.448,104.024,265467,4,10
</body>,Playback,29,0.629,0.893,6,-7.577,0,0.0653,0.000344,0.828,0.0531,0.788,94.968,107604,4,6
</body>,column-rule-style: groove;,17,0.723,0.449,8,-15.639,1,0.0766,0.0393,0.774,0.0947,0.935,83.018,108540,4,6
10 Years,The Shift,55,0.498,0.949,11,-4.367,0,0.0575,0.000324,0.0232,0.0783,0.517,95.027,180691,3,10
10 Years,The Unknown,50,0.484,0.807,11,-5.386,1,0.0566,0.00299,1.19E-05,0.107,0.253,120.223,180592,4,10
1000mods,Mirrors,35,0.333,0.82,5,-7.361,1,0.0531,0.000288,0.264,0.0891,0.162,115.12,436333,4,8
1000mods,Mirrors,35,0.333,0.82,5,-7.361,1,0.0531,0.000288,0.264,0.0891,0.162,115.12,436333,4,10
10cc,Good Morning Judge,49,0.737,0.642,9,-9.492,1,0.0916,0.0185,0.00415,0.0726,0.467,106.742,174667,4,10
10cc,Dreadlock Holiday,68,0.837,0.38,7,-13.341,0,0.064,0.541,0.00789,0.198,0.892,104.995,267947,4,10
16Volt,Suffering You,38,0.509,0.904,7,-3.686,1,0.0579,2.61E-05,0.716,0.334,0.611,141.949,187520,4,8
18 Carat Affair,Memphis Design,22,0.361,0.578,5,-6.399,0,0.0427,0.631,0.00249,0.708,0.247,130.107,56000,3,6
2 Chainz,Grey Area,70,0.897,0.767,11,-4.544,1,0.0959,0.0679,0.000364,0.129,0.675,134.913,171838,4,5
21 Savage,Spiral,63,0.814,0.659,2,-4.475,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,171527,4,5
21 Savage,Runnin,80,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4,5
24HOURS,Step By Step,20,0.688,0.926,10,-3.869,1,0.0927,0.00422,0.000891,0.0765,0.609,140.016,211290,4,10
"24kGoldn, Justin Bieber, J Balvin, iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",77,0.721,0.745,7,-3.508,0,0.0366,0.151,1.24E-06,0.372,0.699,90.988,3.21241667,4,9
2KBABY,Great White,52,0.829,0.555,6,-6.512,0,0.342,0.0943,2.83E-05,0.183,0.399,129.911,111388,4,5
2Pac,California Love - Original Version,74,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21E-06,0.371,0.761,91.519,284907,4,5
2WEI,Boom Boom,59,0.485,0.737,2,-7.572,1,0.0943,0.00731,0.00313,0.0757,0.143,155.718,172987,4,2
3 Doors Down,Kryptonite,79,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,233933,4,9
3 Doors Down,In The Dark,51,0.595,0.95,7,-3.356,1,0.0452,0.0233,0.0195,0.334,0.67,106.017,223680,4,10
3 Doors Down,Your Arms Feel Like home,37,0.548,0.709,9,-6.557,0,0.0273,0.00678,3.82E-06,0.104,0.191,119.998,224213,4,10
3 Hürel,Sevenler Ağlarmış,29,0.426,0.744,7,-10.153,1,0.0636,0.00143,0.189,0.18,0.655,134.714,353693,4,10
347aidan,Dancing in My Room,82,0.98,0.413,8,-11.052,0,0.101,0.671,7.95E-05,0.17,0.764,119.993,180139,4,5
347aidan,Dancing in My Room,3,0.979,0.41,8,-11.056,0,0.112,0.658,3.42E-05,0.205,0.74,119.971,3.002033333,4,9
347aidan,Dancing in My Room,82,0.98,0.413,8,-11.052,0,0.101,0.671,7.95E-05,0.17,0.764,119.993,180139,4,9
38 Special,Caught Up In You,66,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,279333,4,10
3House,On The Floor,28,0.876,0.497,1,-6.001,0,0.147,0.587,0.00436,0.0718,0.407,103.944,131611,4,9
3TEETH,PRESIDENT X,37,0.484,0.957,1,-5.411,1,0.108,8.33E-06,0.216,0.126,0.158,101.052,220587,4,8
3TEETH,PUMPED UP KICKS,53,0.464,0.92,10,-5.673,0,0.0432,0.00143,0.114,0.343,0.266,91.04,271667,4,8
3uki,Lose Control feat. Micah Martin (Radio Edit),26,0.572,0.896,11,-4.282,0,0.0333,0.0013,5.13E-05,0.113,0.442,126.022,188095,4,10
49th & Main,I Want You,40,0.68,0.442,11,-10.94,1,0.179,0.748,6.75E-06,0.514,0.536,127.996,235245,4,6
